locus_tag	ftype	length_bp	gene	EC_number	COG	product
FJOBDCKL_00758	CDS	405	higA		COG5499	Antitoxin HigA
FJOBDCKL_00759	CDS	288	higB_2	3.1.-.-	COG4680	mRNA interferase toxin HigB
FJOBDCKL_00760	CDS	1689	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
FJOBDCKL_00761	CDS	1488	phnE_2		COG3639	Phosphate-import permease protein PhnE
FJOBDCKL_00762	CDS	654	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
FJOBDCKL_00763	CDS	867	phnD1		COG3221	putative ABC transporter phosphite binding protein PhnD1
FJOBDCKL_00764	CDS	3114	ttrA	1.8.-.-	COG0243	Tetrathionate reductase subunit A
FJOBDCKL_00765	CDS	1182	ttrC			Tetrathionate reductase subunit C
FJOBDCKL_00766	CDS	777	ttrB		COG0437	Tetrathionate reductase subunit B
FJOBDCKL_00767	CDS	279				hypothetical protein
FJOBDCKL_00768	CDS	1443	yhdG		COG0531	putative amino acid permease YhdG
FJOBDCKL_00769	CDS	981	csiD			Protein CsiD
FJOBDCKL_00770	CDS	1197	lhgO_1	1.1.3.15	COG0579	L-2-hydroxyglutarate oxidase LhgO
FJOBDCKL_00771	CDS	963				hypothetical protein
FJOBDCKL_00772	CDS	501				hypothetical protein
FJOBDCKL_00773	CDS	2001				hypothetical protein
FJOBDCKL_00774	CDS	708				hypothetical protein
FJOBDCKL_00775	CDS	504	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
FJOBDCKL_00776	CDS	1125	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
FJOBDCKL_00777	CDS	2100	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FJOBDCKL_00778	CDS	1800				hypothetical protein
FJOBDCKL_00779	CDS	1677	tap_1		COG0840	Methyl-accepting chemotaxis protein IV
FJOBDCKL_00780	CDS	1671			COG2199	putative signaling protein
FJOBDCKL_00781	CDS	1317				hypothetical protein
FJOBDCKL_00782	CDS	480				hypothetical protein
FJOBDCKL_00783	CDS	780	nasR			Nitrate regulatory protein
FJOBDCKL_00784	CDS	969	tap_2		COG0840	Methyl-accepting chemotaxis protein IV
FJOBDCKL_00785	CDS	369				hypothetical protein
FJOBDCKL_00786	CDS	330	fliE		COG1677	Flagellar hook-basal body complex protein FliE
FJOBDCKL_00787	CDS	1731	fliF		COG1766	Flagellar M-ring protein
FJOBDCKL_00788	CDS	1005	fliG		COG1536	Flagellar motor switch protein FliG
FJOBDCKL_00789	CDS	780	fliH		COG1317	Flagellar assembly protein FliH
FJOBDCKL_00790	CDS	1392	fliI	3.6.3.14	COG1157	Flagellum-specific ATP synthase
FJOBDCKL_00791	CDS	459	fliJ		COG2882	Flagellar FliJ protein
FJOBDCKL_00792	CDS	1350				hypothetical protein
FJOBDCKL_00793	CDS	471				hypothetical protein
FJOBDCKL_00794	CDS	1059	fliM		COG1868	Flagellar motor switch protein FliM
FJOBDCKL_00795	CDS	510	fliN		COG1886	Flagellar motor switch protein FliN
FJOBDCKL_00796	CDS	447				hypothetical protein
FJOBDCKL_00797	CDS	759	fliP		COG1338	Flagellar biosynthetic protein FliP
FJOBDCKL_00798	CDS	270				hypothetical protein
FJOBDCKL_00799	CDS	798				hypothetical protein
FJOBDCKL_00800	CDS	1218				hypothetical protein
FJOBDCKL_00801	CDS	1905				hypothetical protein
FJOBDCKL_00802	CDS	1092	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
FJOBDCKL_00803	CDS	1131	flgI			Flagellar P-ring protein
FJOBDCKL_00804	CDS	684	flgH			Flagellar L-ring protein
FJOBDCKL_00805	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
FJOBDCKL_00806	CDS	762	flgF		COG4787	Flagellar basal-body rod protein FlgF
FJOBDCKL_00807	CDS	1203	flgE		COG1749	Flagellar hook protein FlgE
FJOBDCKL_00808	CDS	705	flgD		COG1843	Basal-body rod modification protein FlgD
FJOBDCKL_00809	CDS	408	flgC		COG1558	Flagellar basal-body rod protein FlgC
FJOBDCKL_00810	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
FJOBDCKL_00811	CDS	687	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
FJOBDCKL_00812	CDS	297				hypothetical protein
FJOBDCKL_00813	CDS	450				hypothetical protein
FJOBDCKL_00814	CDS	1188			COG2200	putative signaling protein
FJOBDCKL_00815	CDS	1683	ycgR_2			Flagellar brake protein YcgR
FJOBDCKL_00816	CDS	423	fliS		COG1516	Flagellar secretion chaperone FliS
FJOBDCKL_00817	CDS	390	fliT			Flagellar protein FliT
FJOBDCKL_00818	CDS	321				hypothetical protein
FJOBDCKL_00819	CDS	297				hypothetical protein
FJOBDCKL_00820	CDS	333	flhD			Flagellar transcriptional regulator FlhD
FJOBDCKL_00821	CDS	585	flhC			Flagellar transcriptional regulator FlhC
FJOBDCKL_00822	CDS	768	motA		COG1291	Motility protein A
FJOBDCKL_00823	CDS	942	motB_1		COG1360	Motility protein B
FJOBDCKL_00824	CDS	2190	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
FJOBDCKL_00825	CDS	501	cheW		COG0835	Chemotaxis protein CheW
FJOBDCKL_00826	CDS	1656				hypothetical protein
FJOBDCKL_00827	CDS	1719	tar		COG0840	Methyl-accepting chemotaxis protein II
FJOBDCKL_00828	CDS	2184				hypothetical protein
FJOBDCKL_00829	CDS	852	cheR	2.1.1.80		Chemotaxis protein methyltransferase
FJOBDCKL_00830	CDS	1062	cheB	3.1.1.61	COG2201	Chemotaxis response regulator protein-glutamate methylesterase
FJOBDCKL_00831	CDS	1725	tsr		COG0840	Methyl-accepting chemotaxis protein I
FJOBDCKL_00832	CDS	390	cheY		COG0784	Chemotaxis protein CheY
FJOBDCKL_00833	CDS	687	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
FJOBDCKL_00834	CDS	1167	flhB		COG1377	Flagellar biosynthetic protein FlhB
FJOBDCKL_00835	CDS	2082	flhA		COG1298	Flagellar biosynthesis protein FlhA
FJOBDCKL_00836	CDS	2256	ftsY_1			Signal recognition particle receptor FtsY
FJOBDCKL_00837	CDS	708	fliA		COG1191	RNA polymerase sigma factor FliA
FJOBDCKL_00838	CDS	1119				hypothetical protein
FJOBDCKL_00839	CDS	441				hypothetical protein
FJOBDCKL_00840	CDS	1212	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
FJOBDCKL_00841	CDS	816	pomA		COG1291	Chemotaxis protein PomA
FJOBDCKL_00842	CDS	693	motB_2		COG1360	Motility protein B
FJOBDCKL_00843	CDS	1686				hypothetical protein
FJOBDCKL_00844	CDS	1248				hypothetical protein
FJOBDCKL_00845	CDS	1566				hypothetical protein
FJOBDCKL_00846	CDS	792				hypothetical protein
FJOBDCKL_00847	CDS	4176				hypothetical protein
FJOBDCKL_00848	CDS	1290				hypothetical protein
FJOBDCKL_00849	CDS	1545				hypothetical protein
FJOBDCKL_00850	CDS	306				hypothetical protein
FJOBDCKL_00851	CDS	1347				hypothetical protein
FJOBDCKL_00852	CDS	279				hypothetical protein
FJOBDCKL_00853	CDS	705				hypothetical protein
FJOBDCKL_00854	CDS	1125				IS200/IS605 family transposase ISPa18
FJOBDCKL_00855	CDS	1410	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
FJOBDCKL_00856	CDS	1713	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
FJOBDCKL_00857	CDS	498	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
FJOBDCKL_00858	CDS	762	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
FJOBDCKL_00859	CDS	1059	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
FJOBDCKL_00860	CDS	1818	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
FJOBDCKL_00861	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
FJOBDCKL_00862	CDS	2406	lon_1	3.4.21.53	COG0466	Lon protease
FJOBDCKL_00863	CDS	1281	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
FJOBDCKL_00864	CDS	621	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
FJOBDCKL_00865	CDS	1365	tig	5.2.1.8	COG0544	Trigger factor
FJOBDCKL_00866	tRNA	75				tRNA-His(gtg)
FJOBDCKL_00867	tRNA	75				tRNA-His(gtg)
FJOBDCKL_00868	tRNA	77				tRNA-Arg(tct)
FJOBDCKL_00869	tRNA	77				tRNA-Pro(tgg)
FJOBDCKL_00870	CDS	858	folD		COG0190	Bifunctional protein FolD protein
FJOBDCKL_00871	CDS	465	luxS	4.4.1.21		S-ribosylhomocysteine lyase
FJOBDCKL_00872	CDS	735	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
FJOBDCKL_00873	CDS	792				hypothetical protein
FJOBDCKL_00874	CDS	1332				hypothetical protein
FJOBDCKL_00875	CDS	351				hypothetical protein
FJOBDCKL_00876	CDS	234				hypothetical protein
FJOBDCKL_00877	CDS	999			COG3039	IS5 family transposase IS1021
FJOBDCKL_00878	CDS	975				hypothetical protein
FJOBDCKL_00879	CDS	303				hypothetical protein
FJOBDCKL_00880	CDS	1041	pyrC	3.5.2.3	COG0418	Dihydroorotase
FJOBDCKL_00881	CDS	948				hypothetical protein
FJOBDCKL_00882	CDS	420				hypothetical protein
FJOBDCKL_00883	CDS	1248	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
FJOBDCKL_00884	CDS	1011				hypothetical protein
FJOBDCKL_00885	CDS	1368	bauA	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
FJOBDCKL_00886	CDS	285				hypothetical protein
FJOBDCKL_00887	CDS	474				hypothetical protein
FJOBDCKL_00888	CDS	465				hypothetical protein
FJOBDCKL_00889	CDS	582				hypothetical protein
FJOBDCKL_00890	CDS	1560				hypothetical protein
FJOBDCKL_00891	CDS	447				hypothetical protein
FJOBDCKL_00892	CDS	441				hypothetical protein
FJOBDCKL_00893	CDS	684	yhhQ		COG1738	Queuosine precursor transporter
FJOBDCKL_00894	CDS	789	ybfF	3.1.-.-	COG0596	Esterase YbfF
FJOBDCKL_00895	CDS	1194				hypothetical protein
FJOBDCKL_00896	CDS	1707	nhaP2_1		COG3263	K(+)/H(+) antiporter NhaP2
FJOBDCKL_00897	tRNA	90				tRNA-Ser(tga)
FJOBDCKL_00898	CDS	558	yaeQ		COG4681	putative protein YaeQ
FJOBDCKL_00899	CDS	456				hypothetical protein
FJOBDCKL_00900	CDS	675	yccA		COG0670	Modulator of FtsH protease YccA
FJOBDCKL_00901	CDS	393	dsrE	2.8.1.-	COG1553	Putative sulfurtransferase DsrE
FJOBDCKL_00902	CDS	375	dsrF		COG2923	Intracellular sulfur oxidation protein DsrF
FJOBDCKL_00903	CDS	288	tusB		COG2168	Protein TusB
FJOBDCKL_00904	CDS	354	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
FJOBDCKL_00905	CDS	588	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
FJOBDCKL_00906	CDS	1212	moeA_2	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
FJOBDCKL_00907	CDS	93				hypothetical protein
FJOBDCKL_00908	CDS	93				hypothetical protein
FJOBDCKL_00909	CDS	522	moaB_1		COG0521	Molybdenum cofactor biosynthesis protein B
FJOBDCKL_00910	CDS	351				hypothetical protein
FJOBDCKL_00911	CDS	1062				hypothetical protein
FJOBDCKL_00912	CDS	615	fdhB1		COG0437	Formate dehydrogenase iron-sulfur subunit
FJOBDCKL_00913	CDS	2853	napA	1.7.99.4		Nitrate reductase
FJOBDCKL_00914	CDS	204				hypothetical protein
FJOBDCKL_00915	CDS	651	dmsD			Tat proofreading chaperone DmsD
FJOBDCKL_00916	CDS	1719	rsxB_2			Electron transport complex subunit RsxB
FJOBDCKL_00917	CDS	582				hypothetical protein
FJOBDCKL_00918	CDS	432				hypothetical protein
FJOBDCKL_00919	CDS	852	fdhD		COG1526	Sulfur carrier protein FdhD
FJOBDCKL_00920	CDS	633	puuR_3			HTH-type transcriptional regulator PuuR
FJOBDCKL_00921	CDS	990		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
FJOBDCKL_00922	CDS	2748	pat_1	2.3.1.-	COG0454	Protein lysine acetyltransferase Pat
FJOBDCKL_00923	CDS	642	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
FJOBDCKL_00924	CDS	348				hypothetical protein
FJOBDCKL_00925	CDS	696	ygaZ_1		COG1296	Inner membrane protein YgaZ
FJOBDCKL_00926	CDS	684				hypothetical protein
FJOBDCKL_00927	CDS	474				Cytochrome c'
FJOBDCKL_00928	CDS	405				hypothetical protein
FJOBDCKL_00929	CDS	624		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
FJOBDCKL_00930	CDS	348	yfgD		COG1393	putative protein YfgD
FJOBDCKL_00931	CDS	480				hypothetical protein
FJOBDCKL_00932	CDS	594	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
FJOBDCKL_00933	CDS	546				hypothetical protein
FJOBDCKL_00934	CDS	1653	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
FJOBDCKL_00935	CDS	1329	yeeO		COG0534	putative FMN/FAD exporter YeeO
FJOBDCKL_00936	CDS	3726	metH	2.1.1.13	COG0646	Methionine synthase
FJOBDCKL_00937	CDS	591	nfuA		COG0316	Fe/S biogenesis protein NfuA
FJOBDCKL_00938	CDS	1044				hypothetical protein
FJOBDCKL_00939	CDS	1140	xerC_2			Tyrosine recombinase XerC
FJOBDCKL_00940	CDS	426	sufE		COG2166	Cysteine desulfuration protein SufE
FJOBDCKL_00941	CDS	354	yidD			Putative membrane protein insertion efficiency factor
FJOBDCKL_00942	CDS	441	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
FJOBDCKL_00943	CDS	447	zur		COG0735	Zinc uptake regulation protein
FJOBDCKL_00944	CDS	975				hypothetical protein
FJOBDCKL_00945	CDS	1506				hypothetical protein
FJOBDCKL_00946	CDS	855				hypothetical protein
FJOBDCKL_00947	CDS	540				hypothetical protein
FJOBDCKL_00948	CDS	390	ectC	4.2.1.108		L-ectoine synthase
FJOBDCKL_00949	CDS	1266	ectB	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate transaminase
FJOBDCKL_00950	CDS	579	ectA	2.3.1.178		L-2,4-diaminobutyric acid acetyltransferase
FJOBDCKL_00951	CDS	1380	garB	1.8.1.16		Glutathione amide reductase
FJOBDCKL_00952	CDS	648	can	4.2.1.1	COG0288	Carbonic anhydrase 2
FJOBDCKL_00953	CDS	1581				hypothetical protein
FJOBDCKL_00954	CDS	1047	dppB_1		COG0601	Dipeptide transport system permease protein DppB
FJOBDCKL_00955	CDS	957	dppC_1		COG1173	Dipeptide transport system permease protein DppC
FJOBDCKL_00956	CDS	1023	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
FJOBDCKL_00957	CDS	1062	btuD_3	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
FJOBDCKL_00958	CDS	912	yjiE_1			HTH-type transcriptional regulator YjiE
FJOBDCKL_00959	CDS	1302	pepQ	3.4.13.9		Xaa-Pro dipeptidase
FJOBDCKL_00960	CDS	615	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
FJOBDCKL_00961	CDS	4008	tamB		COG2911	Translocation and assembly module subunit TamB
FJOBDCKL_00962	CDS	1863	tamA		COG0729	Translocation and assembly module subunit TamA
FJOBDCKL_00963	CDS	870				hypothetical protein
FJOBDCKL_00964	CDS	624	sodB_2	1.15.1.1	COG0605	Superoxide dismutase [Fe]
FJOBDCKL_00965	CDS	1290	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
FJOBDCKL_00966	CDS	891	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
FJOBDCKL_00967	CDS	726	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
FJOBDCKL_00968	CDS	651	mupP	3.1.3.-	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
FJOBDCKL_00969	CDS	765	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
FJOBDCKL_00970	CDS	807				hypothetical protein
FJOBDCKL_00971	CDS	534	pal		COG2885	Peptidoglycan-associated lipoprotein
FJOBDCKL_00972	CDS	1287	tolB		COG0823	Protein TolB
FJOBDCKL_00973	CDS	1098				hypothetical protein
FJOBDCKL_00974	CDS	441	exbD_3		COG0848	Biopolymer transport protein ExbD
FJOBDCKL_00975	CDS	690	tolQ		COG0811	Protein TolQ
FJOBDCKL_00976	CDS	417	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
FJOBDCKL_00977	CDS	1038	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
FJOBDCKL_00978	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
FJOBDCKL_00979	CDS	540	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
FJOBDCKL_00980	CDS	750	pmpR		COG0217	Transcriptional regulatory protein PmpR
FJOBDCKL_00981	CDS	1782	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
FJOBDCKL_00982	CDS	264				hypothetical protein
FJOBDCKL_00983	CDS	939		1.-.-.-	COG1052	Putative 2-hydroxyacid dehydrogenase
FJOBDCKL_00984	CDS	963	rbsK/rbiA			Bifunctional ribokinase/ribose-5-phosphate isomerase A
FJOBDCKL_00985	CDS	945	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
FJOBDCKL_00986	CDS	273	acyP	3.6.1.7	COG1254	Acylphosphatase
FJOBDCKL_00987	CDS	1005				hypothetical protein
FJOBDCKL_00988	CDS	1095				Bifunctional NMN adenylyltransferase/Nudix hydrolase
FJOBDCKL_00989	CDS	966	yjiE_2			HTH-type transcriptional regulator YjiE
FJOBDCKL_00990	CDS	1419	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
FJOBDCKL_00991	CDS	1506	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
FJOBDCKL_00992	CDS	2028	uvrB		COG0556	UvrABC system protein B
FJOBDCKL_00993	CDS	417				hypothetical protein
FJOBDCKL_00994	CDS	198				hypothetical protein
FJOBDCKL_00995	CDS	1035	ygfZ			tRNA-modifying protein YgfZ
FJOBDCKL_00996	CDS	759	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
FJOBDCKL_00997	CDS	1590	prfC		COG4108	Peptide chain release factor 3
FJOBDCKL_00998	CDS	1275	regB	2.7.13.3		Sensor histidine kinase RegB
FJOBDCKL_00999	CDS	540	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
FJOBDCKL_01000	CDS	768	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
FJOBDCKL_01001	CDS	459				hypothetical protein
FJOBDCKL_01002	CDS	822				hypothetical protein
FJOBDCKL_01003	CDS	276	grxA		COG0695	Glutaredoxin 1
FJOBDCKL_01004	CDS	768				hypothetical protein
FJOBDCKL_01005	CDS	660	scoB_1	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
FJOBDCKL_01006	CDS	702	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
FJOBDCKL_01007	CDS	903	cynR_1			HTH-type transcriptional regulator CynR
FJOBDCKL_01008	CDS	870	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
FJOBDCKL_01009	CDS	939	nlpD			Murein hydrolase activator NlpD
FJOBDCKL_01010	CDS	1155	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
FJOBDCKL_01011	CDS	543				hypothetical protein
FJOBDCKL_01012	CDS	603				hypothetical protein
FJOBDCKL_01013	CDS	1407	alsT_1		COG1115	Amino-acid carrier protein AlsT
FJOBDCKL_01014	CDS	393	gcvH		COG0509	Glycine cleavage system H protein
FJOBDCKL_01015	CDS	2895	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
FJOBDCKL_01016	CDS	924	cysL_1		COG0583	HTH-type transcriptional regulator CysL
FJOBDCKL_01017	CDS	1362	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
FJOBDCKL_01018	CDS	666	basR_1			Transcriptional regulatory protein BasR
FJOBDCKL_01019	CDS	498				hypothetical protein
FJOBDCKL_01020	CDS	393				hypothetical protein
FJOBDCKL_01021	CDS	153				hypothetical protein
FJOBDCKL_01022	CDS	441				hypothetical protein
FJOBDCKL_01023	CDS	876				hypothetical protein
FJOBDCKL_01024	CDS	954	cdhR_3		COG4977	HTH-type transcriptional regulator CdhR
FJOBDCKL_01025	CDS	1047	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
FJOBDCKL_01026	CDS	705				hypothetical protein
FJOBDCKL_01027	CDS	990	cobD_1		COG1270	Cobalamin biosynthesis protein CobD
FJOBDCKL_01028	CDS	1161	cobD_2	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
FJOBDCKL_01029	CDS	573	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
FJOBDCKL_01030	CDS	756	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
FJOBDCKL_01031	CDS	633	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
FJOBDCKL_01032	CDS	417				hypothetical protein
FJOBDCKL_01033	CDS	1893	btuB_1		COG4206	Vitamin B12 transporter BtuB
FJOBDCKL_01034	CDS	909	btuF		COG0614	Vitamin B12-binding protein
FJOBDCKL_01035	CDS	969	hmuU		COG0609	Hemin transport system permease protein HmuU
FJOBDCKL_01036	CDS	768	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
FJOBDCKL_01037	CDS	606	btuR_1	2.5.1.17	COG2109	Cob(I)yrinic acid a,c-diamide adenosyltransferase
FJOBDCKL_01038	CDS	708	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
FJOBDCKL_01039	CDS	1452	cobQ			Cobyric acid synthase
FJOBDCKL_01040	CDS	993				hypothetical protein
FJOBDCKL_01041	CDS	1281	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
FJOBDCKL_01042	tRNA	85				tRNA-Leu(tag)
FJOBDCKL_01043	CDS	702	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
FJOBDCKL_01044	CDS	798	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
FJOBDCKL_01045	CDS	756	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
FJOBDCKL_01046	CDS	1176	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
FJOBDCKL_01047	CDS	1131	bioB	2.8.1.6	COG0502	Biotin synthase
FJOBDCKL_01048	CDS	774				hypothetical protein
FJOBDCKL_01049	CDS	987	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
FJOBDCKL_01050	CDS	543				hypothetical protein
FJOBDCKL_01051	CDS	558	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
FJOBDCKL_01052	CDS	402	folX	5.1.99.-	COG1539	Dihydroneopterin triphosphate 2'-epimerase
FJOBDCKL_01053	CDS	1458	davD_1	1.2.1.20	COG1012	Glutarate-semialdehyde dehydrogenase DavD
FJOBDCKL_01054	CDS	1581	purH		COG0138	Bifunctional purine biosynthesis protein PurH
FJOBDCKL_01055	CDS	321	fis			DNA-binding protein Fis
FJOBDCKL_01056	CDS	1062	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
FJOBDCKL_01057	CDS	915	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
FJOBDCKL_01058	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
FJOBDCKL_01059	CDS	468	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
FJOBDCKL_01060	CDS	1878	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
FJOBDCKL_01061	CDS	1272				hypothetical protein
FJOBDCKL_01062	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
FJOBDCKL_01063	CDS	1734	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
FJOBDCKL_01064	CDS	1257	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
FJOBDCKL_01065	CDS	1380	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
FJOBDCKL_01066	CDS	621	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
FJOBDCKL_01067	CDS	624	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
FJOBDCKL_01068	CDS	1404				hypothetical protein
FJOBDCKL_01069	CDS	927				hypothetical protein
FJOBDCKL_01070	CDS	879				hypothetical protein
FJOBDCKL_01071	CDS	1311	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
FJOBDCKL_01072	CDS	681	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
FJOBDCKL_01073	CDS	363	rsfS			Ribosomal silencing factor RsfS
FJOBDCKL_01074	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
FJOBDCKL_01075	CDS	1908	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
FJOBDCKL_01076	CDS	1161	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
FJOBDCKL_01077	CDS	1071				Tn3 family transposase TnXax1
FJOBDCKL_01078	tRNA	73				tRNA-Thr(tgt)
FJOBDCKL_01079	CDS	1212	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
FJOBDCKL_01080	CDS	312				hypothetical protein
FJOBDCKL_01081	CDS	666	lipB	2.3.1.181	COG0321	Octanoyltransferase
FJOBDCKL_01082	CDS	1059	lipA	2.8.1.8		Lipoyl synthase
FJOBDCKL_01083	CDS	2556				hypothetical protein
FJOBDCKL_01084	CDS	2631	topA	5.99.1.2	COG0550	DNA topoisomerase 1
FJOBDCKL_01085	CDS	465				hypothetical protein
FJOBDCKL_01086	CDS	486				hypothetical protein
FJOBDCKL_01087	CDS	465				hypothetical protein
FJOBDCKL_01088	CDS	432				hypothetical protein
FJOBDCKL_01089	CDS	1593	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
FJOBDCKL_01090	CDS	615				hypothetical protein
FJOBDCKL_01091	CDS	264				hypothetical protein
FJOBDCKL_01092	CDS	1035				hypothetical protein
FJOBDCKL_01093	CDS	3450	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
FJOBDCKL_01094	CDS	1464	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
FJOBDCKL_01095	CDS	1350	nqrA	1.6.5.8	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
FJOBDCKL_01096	CDS	1224	nqrB	1.6.5.8	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
